# DATE,TOTAL PHYTOPLANKTON
04/01/2000,16.887549
10/01/2000,14.7415775
17/01/2000,10.19248916
24/01/2000,12.87563784
02/02/2000,18.02950363
14/02/2000,16.60113918
21/02/2000,14.20580747
28/02/2000,12.58986654
13/03/2000,34.34719548
20/03/2000,12.54827244
27/03/2000,23.89146296
03/04/2000,25.37704565
11/04/2000,59.98460699
27/04/2000,36.01349839
03/05/2000,60.80562784
08/05/2000,71.54771836
15/05/2000,53.03523652
22/05/2000,139.9815275
31/05/2000,44.97153938
05/06/2000,35.55493227
12/06/2000,114.8416145
19/06/2000,57.66476247
26/06/2000,58.61413966
03/07/2000,66.71742144
10/07/2000,50.43299827
17/07/2000,71.88351642
31/07/2000,102.2939253
07/08/2000,76.12839537
21/08/2000,60.94026111
04/09/2000,36.27567288
11/09/2000,75.79532585
20/09/2000,31.28367087
16/10/2000,8.903544429
26/10/2000,9.679790001
06/11/2000,11.61631243
13/11/2000,4.278748474
20/11/2000,4.266083909
18/12/2000,2.918783263
16/01/2001,5.496590224
29/01/2001,4.869985027
08/02/2001,4.850001677
13/02/2001,10.61105481
19/02/2001,7.191952115
27/02/2001,6.413919849
05/03/2001,4.908056085
12/03/2001,6.8688585
02/04/2001,9.238685855
09/04/2001,5.267025061
18/04/2001,54.57514017
23/04/2001,114.4569938
30/04/2001,189.1749914
09/05/2001,120.2848917
14/05/2001,48.96063579
21/05/2001,36.18416673
30/05/2001,22.22086834
04/06/2001,84.7904126
11/06/2001,93.18304054
18/06/2001,29.2148321
25/06/2001,18.77864893
02/07/2001,50.09512403
09/07/2001,58.40460143
16/07/2001,52.15787649
23/07/2001,79.05216078
30/07/2001,77.11812882
06/08/2001,26.63893202
13/08/2001,49.83441033
20/08/2001,59.14320867
03/09/2001,224.8691423
10/09/2001,107.3176373
17/09/2001,24.62122158
24/09/2001,24.58578819
09/10/2001,30.62073215
22/10/2001,17.70003025
29/10/2001,31.8362621
05/11/2001,22.55241432
12/11/2001,10.46190197
19/11/2001,12.99370888
26/11/2001,20.85456246
10/12/2001,9.266630527
07/01/2002,14.62995773
14/01/2002,15.6756479
12/02/2002,6.39057605
18/02/2002,10.46154894
04/03/2002,8.688214563
19/03/2002,7.707443
25/03/2002,13.62322876
02/04/2002,6.278443047
08/04/2002,5.837992144
15/04/2002,7.71650873
22/04/2002,33.15133306
01/05/2002,34.54697529
07/05/2002,122.3935584
16/05/2002,40.92567793
23/05/2002,42.36238157
06/06/2002,37.45267947
11/06/2002,72.60169096
18/06/2002,33.68298448
24/06/2002,53.86360252
01/07/2002,33.89992367
09/07/2002,19.22923007
15/07/2002,18.47901698
22/07/2002,56.80189868
29/07/2002,287.5356858
05/08/2002,26.25621959
12/08/2002,49.05097725
20/08/2002,31.60577651
28/08/2002,29.10392437
02/09/2002,32.68584668
09/09/2002,48.86358744
16/09/2002,22.22841299
23/09/2002,34.81854615
30/09/2002,47.1491241
07/10/2002,32.29511765
14/10/2002,31.73349992
28/10/2002,18.41862359
04/11/2002,16.5487069
18/11/2002,13.2212286
25/11/2002,10.90554263
03/12/2002,9.471966516
16/12/2002,7.536407633
06/01/2003,3.630104849
13/01/2003,7.337296185
22/01/2003,5.479109653
27/01/2003,3.363411115
03/02/2003,10.50665955
10/02/2003,17.75405591
17/02/2003,18.96778405
03/03/2003,13.11908381
17/03/2003,12.01918555
31/03/2003,23.54080763
07/04/2003,63.09333152
14/04/2003,114.6092504
22/04/2003,89.94690264
06/05/2003,36.57575341
12/05/2003,34.70131031
02/06/2003,29.08868821
09/06/2003,41.38419298
16/06/2003,97.79183679
23/06/2003,155.301469
30/06/2003,166.0062567
07/07/2003,99.80366093
14/07/2003,25.43665164
21/07/2003,27.30699121
28/07/2003,31.11616913
04/08/2003,62.47348683
11/08/2003,52.54052021
20/08/2003,31.15907954
27/08/2003,28.97731054
02/09/2003,35.56789665
11/09/2003,55.2928943
15/09/2003,23.57050426
24/09/2003,33.03985754
29/09/2003,29.38797852
13/10/2003,19.46570239
21/10/2003,22.9502234
27/10/2003,32.76949782
06/11/2003,12.57245791
10/11/2003,25.36027926
24/11/2003,19.44889513
10/12/2003,13.01411909
15/12/2003,15.57725839
21/01/2004,25.99705056
28/01/2004,11.21485447
12/02/2004,8.292729376
16/02/2004,10.21928868
23/02/2004,20.62563425
01/03/2004,13.10223932
08/03/2004,12.03991692
29/03/2004,14.29557881
13/04/2004,95.60729283
22/04/2004,100.9001075
26/04/2004,44.50298013
17/05/2004,28.56479553
24/05/2004,59.97363069
02/06/2004,98.8126714
07/06/2004,135.0869149
14/06/2004,22.95896993
21/06/2004,43.67535917
06/07/2004,64.17082588
12/07/2004,66.67555908
21/07/2004,68.02698874
02/08/2004,64.75757843
09/08/2004,79.49520001
16/08/2004,69.00952497
25/08/2004,28.09392608
31/08/2004,57.03629433
06/09/2004,16.23410071
21/09/2004,33.73102571
27/09/2004,31.19764868
18/10/2004,14.90504072
26/10/2004,13.06233246
01/11/2004,16.87496686
09/11/2004,13.72687137
16/11/2004,11.36712935
23/11/2004,9.124200409
29/11/2004,12.50541996
06/12/2004,15.2283246
13/12/2004,7.181179343
20/12/2004,4.551298916
06/01/2005,6.735411496
19/01/2005,23.39828308
24/01/2005,12.33987507
31/01/2005,18.26184911
07/02/2005,30.03069128
15/02/2005,12.47610891
22/02/2005,9.463805663
28/02/2005,6.222247099
07/03/2005,6.503174502
15/03/2005,12.39685344
21/03/2005,10.4079214
29/03/2005,13.81455122
04/04/2005,14.22624387
11/04/2005,21.74407458
18/04/2005,47.64190877
26/04/2005,31.69068907
04/05/2005,31.82335537
09/05/2005,41.35940251
16/05/2005,40.65103853
25/05/2005,59.58762687
01/06/2005,74.37610564
06/06/2005,38.63635333
13/06/2005,38.18631414
20/06/2005,26.38492043
27/06/2005,34.8793101
04/07/2005,29.91151834
11/07/2005,45.01992758
25/07/2005,107.5691413
01/08/2005,198.2634845
08/08/2005,40.83674551
15/08/2005,29.1113251
30/08/2005,58.13905411
05/09/2005,63.58686845
12/09/2005,73.64454812
19/09/2005,33.71260779
26/09/2005,15.09837002
03/10/2005,20.81788788
10/10/2005,7.545139181
17/10/2005,6.499618843
07/11/2005,3.700076765
15/11/2005,4.179812778
22/11/2005,3.656799992
28/11/2005,2.694959684
05/12/2005,5.788349176
12/12/2005,4.550831704
19/12/2005,4.821801354
03/01/2006,5.686041612
09/01/2006,5.5501406
16/01/2006,5.422533197
23/01/2006,8.531731673
06/02/2006,9.627057301
13/02/2006,3.728106731
21/02/2006,7.385998512
27/02/2006,10.232741
06/03/2006,5.049633479
15/03/2006,32.7074137
20/03/2006,9.331052033
29/03/2006,18.82967663
03/04/2006,12.85979564
11/04/2006,34.47694376
18/04/2006,84.55666711
25/04/2006,60.62089427
04/05/2006,83.05547655
08/05/2006,22.41935326
15/05/2006,15.69424794
23/05/2006,28.03614981
06/06/2006,36.74146408
12/06/2006,12.87104
20/06/2006,30.54949485
27/06/2006,42.78536239
03/07/2006,73.52830513
10/07/2006,83.97911491
17/07/2006,75.23580448
07/08/2006,28.11155954
14/08/2006,47.14510497
21/08/2006,70.23137573
29/08/2006,88.80780768
04/09/2006,60.95346045
12/09/2006,106.7967064
25/09/2006,137.1487061
03/10/2006,93.40212944
09/10/2006,20.79745494
30/10/2006,18.16883263
06/11/2006,12.20456899
12/12/2006,4.692091359
18/12/2006,5.514071348
15/01/2007,12.05125248
22/01/2007,3.883164993
29/01/2007,8.279189899
05/02/2007,6.140572506
16/02/2007,6.230660032
20/02/2007,4.575990293
26/02/2007,6.93177414
07/03/2007,7.597579382
12/03/2007,10.63103421
20/03/2007,11.92607859
26/03/2007,16.09718144
10/04/2007,30.25614853
16/04/2007,24.93025
23/04/2007,48.17390901
30/04/2007,55.20980587
08/05/2007,36.61538566
21/05/2007,19.06971467
04/06/2007,22.12461208
11/06/2007,35.5179029
25/06/2007,67.19441927
09/07/2007,137.180976
16/07/2007,115.6382402
23/07/2007,86.67003354
30/07/2007,45.19555826
06/08/2007,29.21366799
13/08/2007,37.25253816
20/08/2007,17.14017955
03/09/2007,27.1103123
10/09/2007,19.55195516
17/09/2007,21.50135639
02/10/2007,17.50982106
08/10/2007,14.33815424
25/10/2007,10.7091407
30/10/2007,10.38939195
12/11/2007,9.114294978
22/11/2007,10.89145368
26/11/2007,10.21325534
11/12/2007,7.614006123
28/01/2008,6.8410352
13/02/2008,9.020656579
20/02/2008,5.610289595
27/02/2008,6.24589323
05/03/2008,7.021072341
17/03/2008,11.9581799
31/03/2008,17.4443338
07/04/2008,11.50158416
14/04/2008,12.69133105
21/04/2008,6.733056095
28/04/2008,39.02669223
06/05/2008,38.61297096
12/05/2008,64.78505102
19/05/2008,18.08663848
