#Date,"NITRITE, uM"
17/01/2000,0.07
02/02/2000,0.17
21/02/2000,0.31
13/03/2000,0.3
20/03/2000,0.36
27/03/2000,0.39
03/04/2000,0.31
11/04/2000,0.13
12/06/2000,0.05
19/06/2000,0.05
17/07/2000,0.05
21/08/2000,0.05
04/09/2000,0.06
12/10/2000,0.18
16/10/2000,0.44
26/10/2000,0.22
13/11/2000,0.2
19/11/2000,0.21
16/01/2001,0.08
19/02/2001,0.09
27/02/2001,0.27
04/03/2001,0.45
17/04/2001,0.43
22/04/2001,0.32
29/04/2001,0.47
07/05/2001,0.19
07/05/2001,0.18
13/05/2001,0.51
20/05/2001,0.02
30/05/2001,0.29
03/06/2001,0.32
01/07/2001,0.07
08/07/2001,0.27
22/07/2001,0.34
29/07/2001,0.24
12/08/2001,0.17
18/08/2001,0.25
29/08/2001,0.38
02/09/2001,0.31
09/09/2001,0.43
16/09/2001,0.47
23/09/2001,0.49
21/10/2001,0.43
04/11/2001,0.35
18/11/2001,0.13
25/11/2001,0.22
09/12/2001,0.14
16/12/2001,0.12
07/01/2002,0.11
12/02/2002,0.1
07/04/2002,0.32
30/04/2002,0.12
06/05/2002,0.02
16/05/2002,0.19
27/05/2002,0.02
11/06/2002,0.01
18/06/2002,0.02
24/06/2002,0.1
01/07/2002,0.08
09/07/2002,0.1
16/07/2002,0
22/07/2002,0.01
29/07/2002,0.13
05/08/2002,0.07
12/08/2002,0.05
19/08/2002,0.03
28/08/2002,0.03
02/09/2002,0.06
09/09/2002,0.05
16/09/2002,0.11
23/09/2002,0.14
30/09/2002,0.15
07/10/2002,0.23
14/10/2002,0.67
28/10/2002,0.54
04/11/2002,0.91
18/11/2002,0.34
25/11/2002,0.28
03/12/2002,0.05
16/12/2002,0.14
06/01/2003,0.03
13/01/2003,0.12
22/01/2003,0.15
27/01/2003,0.14
03/02/2003,0.1
10/02/2003,0.14
17/02/2003,0.16
03/03/2003,0.32
11/03/2003,0.31
17/03/2003,0.16
31/03/2003,0.05
07/04/2003,0.05
14/04/2003,0.12
22/04/2003,0.03
07/05/2003,0.2
12/05/2003,0
19/05/2003,0
28/05/2003,0
02/06/2003,0
09/06/2003,0
16/06/2003,0
23/06/2003,0
30/06/2003,0
07/07/2003,0
14/07/2003,0
21/07/2003,0
28/07/2003,0
04/08/2003,0
11/08/2003,0
20/08/2003,0
27/08/2003,0
02/09/2003,0.39
11/09/2003,0.25
15/09/2003,0.45
24/09/2003,0.31
29/09/2003,1.22
13/10/2003,0.41
21/10/2003,0.8
27/10/2003,1.04
06/11/2003,1.08
10/11/2003,1.02
24/11/2003,0.07
10/12/2003,0.07
15/12/2003,0.22
21/01/2004,0.17
28/01/2004,0.24
12/02/2004,0.55
16/02/2004,0.33
01/03/2004,0.31
17/03/2004,0.34
29/03/2004,0.27
13/04/2004,0.14
22/04/2004,0
26/04/2004,0
10/05/2004,0.05
17/05/2004,0
24/05/2004,0
02/06/2004,0.11
07/06/2004,0
14/06/2004,0.07
21/06/2004,0.06
30/06/2004,0
06/07/2004,0
12/07/2004,0.07
21/07/2004,0
02/08/2004,0
09/08/2004,0
16/08/2004,0
25/08/2004,0.48
31/08/2004,0.04
06/09/2004,0
21/09/2004,0.35
27/09/2004,0.31
18/10/2004,0.77
26/10/2004,0.46
01/11/2004,0.3
09/11/2004,0.16
16/11/2004,0.17
23/11/2004,0.09
29/11/2004,0.12
06/12/2004,0.32
20/12/2004,0.07
19/01/2005,0.05
24/01/2005,0.11
15/02/2005,0.13
04/05/2005,0.16
09/05/2005,0.05
16/05/2005,0.04
01/06/2005,0.06
06/06/2005,0.03
13/06/2005,0.03
20/06/2005,0.05
27/06/2005,0.03
04/07/2005,0.04
11/07/2005,0.03
25/07/2005,0.03
01/08/2005,0.04
15/08/2005,0.04
30/08/2005,0.03
05/09/2005,0.06
12/09/2005,0.02
19/09/2005,0.18
26/09/2005,0.4
03/10/2005,0.14
10/10/2005,0.19
17/10/2005,0.61
01/11/2005,0.62
07/11/2005,0.17
15/11/2005,0.22
22/11/2005,0.05
05/12/2005,0.2
12/12/2005,0.05
19/12/2005,0.1
28/12/2005,0.08
16/01/2006,0.04
23/01/2006,0.03
02/02/2006,0.07
06/02/2006,0.12
13/02/2006,0.13
21/02/2006,0.14
27/02/2006,0.17
06/03/2006,0.24
15/03/2006,0.24
20/03/2006,0.26
29/03/2006,0.23
03/04/2006,0.27
11/04/2006,0.08
18/04/2006,0.02
04/05/2006,0.01
08/05/2006,0.19
15/05/2006,0.1
23/05/2006,0.1
06/06/2006,0.03
12/06/2006,0.01
20/06/2006,0.01
27/06/2006,0.04
03/07/2006,0.12
17/07/2006,0.04
17/07/2006,0.02
07/08/2006,0.05
14/08/2006,0.01
21/08/2006,0.02
29/08/2006,0.24
29/08/2006,0.24
04/09/2006,0.02
04/09/2006,0.03
12/09/2006,0.03
25/09/2006,0.04
25/09/2006,0.04
03/10/2006,0.15
09/10/2006,0.25
30/10/2006,1.25
06/11/2006,0.45
06/11/2006,0.45
12/12/2006,0.04
12/12/2006,0.04
12/12/2006,0.04
12/12/2006,0.04
15/01/2007,0.07
15/01/2007,0.07
15/01/2007,0.06
15/01/2007,0.06
22/01/2007,0.1
22/01/2007,0.1
22/01/2007,0.08
22/01/2007,0.08
29/01/2007,0.19
29/01/2007,0.2
29/01/2007,0.18
29/01/2007,0.18
05/02/2007,0.14
05/02/2007,0.14
05/02/2007,0.14
05/02/2007,0.13
16/02/2007,0.25
16/02/2007,0.26
16/02/2007,0.25
16/02/2007,0.25
20/02/2007,0.28
20/02/2007,0.28
20/02/2007,0.27
20/02/2007,0.28
26/02/2007,0.32
26/02/2007,0.33
26/02/2007,0.3
26/02/2007,0.29
12/03/2007,0.29
12/03/2007,0.28
12/03/2007,0.25
12/03/2007,0.25
20/03/2007,0.23
20/03/2007,0.23
20/03/2007,0.27
20/03/2007,0.27
26/03/2007,0.22
26/03/2007,0.22
26/03/2007,0.21
26/03/2007,0.21
10/04/2007,0.18
10/04/2007,0.18
10/04/2007,0.18
10/04/2007,0.18
16/04/2007,0.07
16/04/2007,0.07
16/04/2007,0.06
16/04/2007,0.06
23/04/2007,0.11
23/04/2007,0.11
23/04/2007,0.11
23/04/2007,0.1
30/04/2007,0.06
30/04/2007,0.03
08/05/2007,0.02
08/05/2007,0.02
08/05/2007,0.02
08/05/2007,0.02
21/05/2007,0.08
21/05/2007,0.08
21/05/2007,0.06
21/05/2007,0.07
04/06/2007,0.05
04/06/2007,0.04
04/06/2007,0.03
04/06/2007,0.04
11/06/2007,0.06
11/06/2007,0.06
11/06/2007,0.
11/06/2007,0.
18/06/2007,0.02
18/06/2007,0.02
18/06/2007,0.02
18/06/2007,0.02
25/06/2007,0.02
25/06/2007,0.02
25/06/2007,0.02
25/06/2007,0.02
03/07/2007,0.02
03/07/2007,0.02
03/07/2007,0.02
03/07/2007,0.02
09/07/2007,0.03
09/07/2007,0.03
09/07/2007,
09/07/2007,
16/07/2007,0.02
16/07/2007,0.02
16/07/2007,
16/07/2007,
23/07/2007,0.02
23/07/2007,0.02
23/07/2007,
23/07/2007,
30/07/2007,0.02
30/07/2007,0.02
30/07/2007,
30/07/2007,
06/08/2007,0.02
06/08/2007,0.02
06/08/2007,0.02
06/08/2007,
13/08/2007,0.05
13/08/2007,0.07
13/08/2007,
13/08/2007,
20/08/2007,0.37
20/08/2007,0.37
20/08/2007,0.39
20/08/2007,0.38
28/08/2007,0.05
28/08/2007,0.05
28/08/2007,0.04
28/08/2007,0.05
03/09/2007,
03/09/2007,
03/09/2007,0.07
03/09/2007,
10/09/2007,0.06
10/09/2007,0.06
10/09/2007,
10/09/2007,
17/09/2007,0.16
17/09/2007,0.16
17/09/2007,0.15
17/09/2007,0.15
28/09/2007,0.27
28/09/2007,0.27
28/09/2007,0.26
28/09/2007,0.26
02/10/2007,0.58
02/10/2007,0.58
02/10/2007,0.56
02/10/2007,0.57
08/10/2007,0.7
08/10/2007,0.71
08/10/2007,0.68
08/10/2007,0.69
25/10/2007,0.95
25/10/2007,0.98
25/10/2007,0.99
25/10/2007,0.98
30/10/2007,1.11
30/10/2007,1.12
30/10/2007,1.09
30/10/2007,1.1
05/11/2007,0.82
05/11/2007,0.82
05/11/2007,0.81
05/11/2007,0.81
12/11/2007,0.38
12/11/2007,0.38
12/11/2007,0.41
12/11/2007,0.41
22/11/2007,0.16
22/11/2007,0.13
26/11/2007,0.07
26/11/2007,0.07
11/12/2007,0.2
11/12/2007,0.19
11/12/2007,0.16
11/12/2007,0.16
28/01/2008,0.17
28/01/2008,0.17
28/01/2008,0.16
28/01/2008,0.16
08/02/2008,0.2
08/02/2008,0.2
08/02/2008,0.18
08/02/2008,0.19
20/02/2008,0.23
20/02/2008,0.23
20/02/2008,0.22
20/02/2008,0.22
27/02/2008,0.31
27/02/2008,0.32
27/02/2008,0.31
27/02/2008,0.31
05/03/2008,0.34
05/03/2008,0.34
05/03/2008,0.32
05/03/2008,0.33
17/03/2008,0.27
17/03/2008,0.28
17/03/2008,0.27
17/03/2008,0.27
31/03/2008,0.22
31/03/2008,0.21
31/03/2008,0.21
31/03/2008,0.21
07/04/2008,0.23
07/04/2008,0.23
07/04/2008,0.23
07/04/2008,0.23
14/04/2008,0.18
14/04/2008,0.18
14/04/2008,0.17
14/04/2008,0.18
21/04/2008,0.16
21/04/2008,0.16
21/04/2008,0.15
21/04/2008,0.15
28/04/2008,0
28/04/2008,0.03
28/04/2008,0.02
28/04/2008,0.011
06/05/2008,0
06/05/2008,0
06/05/2008,0.06
06/05/2008,0.06
12/05/2008,0
12/05/2008,0
12/05/2008,0
12/05/2008,0
19/05/2008,0
19/05/2008,0
19/05/2008,0
19/05/2008,0
28/05/2008,0
28/05/2008,0
28/05/2008,0
28/05/2008,0
02/06/2008,0
02/06/2008,0
02/06/2008,0
02/06/2008,0
09/06/2008,0
09/06/2008,0
09/06/2008,0
09/06/2008,0
16/06/2008,0
16/06/2008,0
16/06/2008,0
16/06/2008,0
23/06/2008,0
23/06/2008,0
23/06/2008,0
23/06/2008,0
30/06/2008,0
30/06/2008,0
30/06/2008,0.018
30/06/2008,0.02
14/07/2008,0.01
14/07/2008,0.01
14/07/2008,0.01
14/07/2008,0.01
21/07/2008,0
21/07/2008,0
21/07/2008,0
21/07/2008,0
28/07/2008,0
28/07/2008,0
28/07/2008,0
28/07/2008,0
