# Date,Total Zooplankton Biomass
04/01/2000,37681.1286
10/01/2000,37484.8045
17/01/2000,39056.97932
24/01/2000,37432.5778
02/02/2000,39338.82338
14/02/2000,40037.14497
28/02/2000,44153.87908
13/03/2000,44053.06805
20/03/2000,60533.05002
27/03/2000,274655.6647
03/04/2000,66701.71858
11/04/2000,82912.72669
27/04/2000,55147.6527
03/05/2000,69004.79703
08/05/2000,56338.12088
15/05/2000,135641.8299
22/05/2000,59938.08833
31/05/2000,48855.1798
05/06/2000,49061.66559
19/06/2000,45005.14891
26/06/2000,45066.67447
03/07/2000,48392.4437
10/07/2000,53321.62674
17/07/2000,47590.64725
11/09/2000,55654.46598
20/09/2000,55028.42132
16/10/2000,44645.69237
26/10/2000,43733.9055
06/11/2000,41872.92461
13/11/2000,42979.50658
18/12/2000,37343.22829
08/01/2001,37288.5582
16/01/2001,44549.42472
29/01/2001,42904.48514
08/02/2001,37677.88395
13/02/2001,39931.86911
19/02/2001,45075.62818
27/02/2001,53978.01869
05/03/2001,79154.688
12/03/2001,49682.41804
02/04/2001,53250.09566
09/04/2001,82009.15814
18/04/2001,84672.85826
23/04/2001,55409.6162
30/04/2001,43705.63293
09/05/2001,45476.045
14/05/2001,44741.32873
21/05/2001,58827.76731
30/05/2001,51456.31296
04/06/2001,45325.94439
11/06/2001,53482.22606
18/06/2001,50192.16082
25/06/2001,53353.97528
02/07/2001,49304.91147
09/07/2001,49615.44686
16/07/2001,45796.18701
23/07/2001,65124.42315
30/07/2001,59936.25
13/08/2001,47061.20922
20/08/2001,54926.26627
03/09/2001,70325.24398
10/09/2001,49317.02356
17/09/2001,56025.39668
24/09/2001,62995.75319
09/10/2001,44892.77137
22/10/2001,44454.7145
29/10/2001,50213.74254
05/11/2001,44449.08854
12/11/2001,45150.29487
19/11/2001,46265.82474
26/11/2001,44907.35206
10/12/2001,44218.07821
07/01/2002,44747.15403
14/01/2002,41130.30927
12/02/2002,37632.23748
18/02/2002,37914.24275
04/03/2002,38966.26905
19/03/2002,67061.14007
25/03/2002,45951.79764
02/04/2002,58126.42231
08/04/2002,55121.46297
15/04/2002,51112.83499
22/04/2002,54545.64101
01/05/2002,75576.46087
07/05/2002,53164.96406
16/05/2002,48528.08877
06/06/2002,50953.95855
11/06/2002,47470.96671
18/06/2002,60720.07868
24/06/2002,65812.37724
01/07/2002,97843.68266
22/07/2002,52979.08265
29/07/2002,62591.10451
05/08/2002,84944.75906
12/08/2002,59417.84965
20/08/2002,48068.4713
28/08/2002,76210.32829
02/09/2002,50424.8802
09/09/2002,46653.80383
16/09/2002,46009.12541
23/09/2002,50993.42289
30/09/2002,49952.06685
07/10/2002,49174.74373
14/10/2002,43812.20185
28/10/2002,44266.5672
04/11/2002,42574.85232
18/11/2002,42911.18862
25/11/2002,44271.11457
03/12/2002,41814.8451
16/12/2002,41030.63097
06/01/2003,41817.47663
13/01/2003,41486.79248
22/01/2003,40065.58848
27/01/2003,43396.83547
03/02/2003,39985.36738
10/02/2003,40009.72698
17/02/2003,40382.6228
03/03/2003,51569.15468
11/03/2003,46003.16126
17/03/2003,45412.8802
25/03/2003,48873.03738
31/03/2003,41917.56416
07/04/2003,42486.50957
14/04/2003,43003.41852
22/04/2003,55419.49064
06/05/2003,107943.0988
12/05/2003,74338.61814
19/05/2003,73007.61581
28/05/2003,52171.81606
03/06/2003,48764.30265
09/06/2003,43992.25319
16/06/2003,42031.37449
23/06/2003,45586.9683
30/06/2003,56688.70418
07/07/2003,60188.71426
14/07/2003,56991.84115
21/07/2003,47057.73013
28/07/2003,43277.352
04/08/2003,44081.07365
11/08/2003,79464.36398
20/08/2003,47257.29571
27/08/2003,52146.80801
02/09/2003,45050.82858
11/09/2003,55728.45377
15/09/2003,53712.71482
24/09/2003,47475.46978
29/09/2003,46305.42316
13/10/2003,47976.08153
21/10/2003,43040.31395
27/10/2003,53848.07565
06/11/2003,44582.44471
10/11/2003,42685.89882
24/11/2003,41360.28576
10/12/2003,42099.4701
15/12/2003,44579.03378
21/01/2004,40113.22833
28/01/2004,42285.22262
12/02/2004,45169.96298
16/02/2004,45621.63547
23/02/2004,52470.30607
01/03/2004,42109.02639
08/03/2004,54911.54261
29/03/2004,71918.53088
13/04/2004,82400.96742
22/04/2004,58074.60885
26/04/2004,77407.45101
17/05/2004,83416.64813
24/05/2004,50517.9058
02/06/2004,68912.69923
07/06/2004,82320.34187
14/06/2004,54141.96653
21/06/2004,64619.83085
30/06/2004,60630.01183
06/07/2004,50929.02759
12/07/2004,47595.21693
21/07/2004,62398.06267
02/08/2004,65064.0854
09/08/2004,52722.71721
16/08/2004,49517.87577
25/08/2004,47446.74052
31/08/2004,43709.72817
06/09/2004,51196.37483
21/09/2004,51671.74177
27/09/2004,61671.94392
18/10/2004,47257.46958
26/10/2004,46252.52933
01/11/2004,45540.05287
09/11/2004,42683.79238
16/11/2004,44345.44509
23/11/2004,41632.37914
29/11/2004,42551.89123
06/12/2004,43338.65275
13/12/2004,41767.3196
20/12/2004,40809.33044
06/01/2005,43197.23026
19/01/2005,39337.56594
24/01/2005,41341.90847
31/01/2005,45042.05702
07/02/2005,42237.21976
15/02/2005,42886.85849
22/02/2005,41939.89347
28/02/2005,42116.04885
07/03/2005,43555.83378
15/03/2005,48470.07355
21/03/2005,47048.53455
29/03/2005,43166.74041
04/04/2005,70866.03025
11/04/2005,56613.14062
18/04/2005,55193.00101
26/04/2005,48330.0483
04/05/2005,50147.80189
09/05/2005,51203.41108
16/05/2005,44446.34645
25/05/2005,48468.8412
01/06/2005,58769.12999
06/06/2005,62138.01408
13/06/2005,55784.48962
20/06/2005,50425.62611
27/06/2005,57111.01819
04/07/2005,62598.25064
11/07/2005,47171.44534
25/07/2005,47759.00918
01/08/2005,50831.93657
08/08/2005,47708.19427
15/08/2005,47700.9395
30/08/2005,46139.81821
05/09/2005,41851.45299
12/09/2005,46285.26288
19/09/2005,43484.40036
26/09/2005,42962.08677
03/10/2005,50126.90652
10/10/2005,61093.81779
17/10/2005,44030.42474
07/11/2005,45546.95104
15/11/2005,43243.04164
22/11/2005,42592.74586
28/11/2005,42874.05084
05/12/2005,44450.88733
12/12/2005,42486.78217
19/12/2005,40016.63212
03/01/2006,42102.87363
09/01/2006,41992.29635
16/01/2006,42539.6467
23/01/2006,42408.0095
06/02/2006,40917.7915
13/02/2006,40754.92395
21/02/2006,43235.28442
27/02/2006,42432.06065
06/03/2006,42387.72875
15/03/2006,64413.77705
20/03/2006,49323.39927
29/03/2006,72822.04006
03/04/2006,101093.9787
11/04/2006,59062.42627
18/04/2006,54686.98382
25/04/2006,73548.2528
04/05/2006,77345.15523
08/05/2006,70491.03828
15/05/2006,69363.37465
23/05/2006,62146.55061
06/06/2006,46887.12591
12/06/2006,47979.42215
20/06/2006,59732.14202
27/06/2006,69651.27141
03/07/2006,66177.58461
10/07/2006,69953.73685
17/07/2006,58651.82857
07/08/2006,59966.50315
14/08/2006,54021.83693
21/08/2006,56914.73824
29/08/2006,58431.14954
04/09/2006,51407.0327
12/09/2006,58144.14157
25/09/2006,55551.723
03/10/2006,57402.33296
09/10/2006,48976.86146
30/10/2006,42694.73857
06/11/2006,43160.03314
18/12/2006,41755.57478
15/01/2007,39700.31662
22/01/2007,40837.1319
29/01/2007,40219.64581
05/02/2007,42840.2927
16/02/2007,48811.32102
20/02/2007,44833.43773
26/02/2007,43521.16455
07/03/2007,44820.7251
12/03/2007,42686.31865
20/03/2007,85667.56631
26/03/2007,58213.02827
10/04/2007,50231.43783
16/04/2007,64089.40838
23/04/2007,51574.9073
30/04/2007,41958.07578
08/05/2007,42454.32385
21/05/2007,72250.91998
04/06/2007,57574.90848
11/06/2007,54071.33793
25/06/2007,46722.26478
02/07/2007,45539.66592
09/07/2007,50095.55506
16/07/2007,53373.25936
23/07/2007,53927.45678
30/07/2007,61983.23074
06/08/2007,49791.71636
13/08/2007,48376.40033
20/08/2007,50417.79489
28/08/2007,48609.95546
03/09/2007,55345.72173
10/09/2007,56996.53706
17/09/2007,49076.85105
28/09/2007,57852.23152
02/10/2007,55541.15414
08/10/2007,48431.38701
25/10/2007,48991.14422
30/10/2007,46664.83161
05/11/2007,45803.32366
12/11/2007,44766.19517
22/11/2007,43464.55203
11/12/2007,45196.67337
28/01/2008,42299.32932
13/02/2008,46533.05233
20/02/2008,47386.11711
27/02/2008,53665.68759
05/03/2008,51087.92762
17/03/2008,54301.33032
31/03/2008,54057.22742
07/04/2008,74098.15666
14/04/2008,61125.15343
21/04/2008,85648.7364
28/04/2008,80836.73473
06/05/2008,69040.72323
12/05/2008,48937.70312
19/05/2008,52370.3501
28/05/2008,50638.58139
02/06/2008,51813.47367
09/06/2008,51770.0187
16/06/2008,55753.7791
23/06/2008,56560.59522
30/06/2008,62562.81493
14/07/2008,46196.98037
21/07/2008,45916.98797
28/07/2008,48807.91009
20/08/2008,55087.11501
26/08/2008,50542.94776
02/09/2008,61440.42365
10/09/2008,60506.92514
15/09/2008,53243.24306
22/09/2008,8247.70445
29/09/2008,44679.87748
06/10/2008,54497.68364
13/10/2008,48775.43129
21/10/2008,61236.72983
27/10/2008,54887.94184
03/11/2008,71062.37668
17/11/2008,49015.2683
26/11/2008,48259.12497
01/12/2008,58045.28909
08/12/2008,45410.3679
15/12/2008,47349.51885
22/12/2008,46370.06087
05/01/2009,48271.69261
13/01/2009,42564.12601
21/01/2009,44926.53973
26/01/2009,42801.23532
11/02/2009,43241.44636
16/02/2009,43881.70175
23/02/2009,43392.14659
02/03/2009,46961.53885
09/03/2009,47642.77301
16/03/2009,53626.20022
23/03/2009,107887.462
30/03/2009,159486.1841
06/04/2009,85388.5504
14/04/2009,61358.9805
21/04/2009,92042.91592
27/04/2009,67949.1341
05/05/2009,65553.63314
13/05/2009,68202.70538
21/05/2009,64131.86325
02/06/2009,60250.70313
08/06/2009,72442.48615
15/06/2009,95744.35494
22/06/2009,80278.89445
29/06/2009,89056.53599
07/07/2009,74532.27917
13/07/2009,60744.87668
20/07/2009,51362.83694
27/07/2009,58619.1272
11/08/2009,83564.1849
17/08/2009,58271.66793
24/08/2009,64167.46164
01/09/2009,58544.3388
07/09/2009,52625.15605
14/09/2009,48882.4474
22/09/2009,55413.67711
28/09/2009,73726.93377
07/10/2009,55864.38189
